"CITY","WEATHER","VISIBILITY","TEMP","TEMP_MIN","TEMP_MAX","PRESSURE","HUMIDITY","WIND_SPEED","WIND_DEG","FORECAST_DATETIME"
"Delhi","Clouds",10000,29.71,29.71,29.71,1006,17,3.1,303,"2024-04-05 18:00:00"
"Delhi","Clouds",10000,27.33,27.33,27.33,1005,15,2.57,343,"2024-04-05 21:00:00"
"Delhi","Clouds",10000,25.72,25.72,25.72,1006,14,1.59,322,"2024-04-06 00:00:00"
"Delhi","Clear",10000,29.11,29.11,29.11,1008,11,2.2,296,"2024-04-06 03:00:00"
"Delhi","Clear",10000,35.83,35.83,35.83,1007,8,1.93,284,"2024-04-06 06:00:00"
"Delhi","Clear",10000,37.7,37.7,37.7,1004,7,3.44,254,"2024-04-06 09:00:00"
"Delhi","Clear",10000,37.06,37.06,37.06,1002,7,3,286,"2024-04-06 12:00:00"
"Delhi","Clouds",10000,32.81,32.81,32.81,1004,10,3.53,271,"2024-04-06 15:00:00"
"Delhi","Clouds",10000,30.52,30.52,30.52,1005,17,2.37,313,"2024-04-06 18:00:00"
"Delhi","Clouds",10000,28.33,28.33,28.33,1005,15,1.66,312,"2024-04-06 21:00:00"
"Delhi","Clouds",10000,27.1,27.1,27.1,1005,11,1.74,3,"2024-04-07 00:00:00"
"Delhi","Clouds",10000,29.64,29.64,29.64,1007,10,2.21,351,"2024-04-07 03:00:00"
"Delhi","Clouds",10000,36.5,36.5,36.5,1006,6,3.33,320,"2024-04-07 06:00:00"
"Delhi","Clear",10000,38.33,38.33,38.33,1002,5,4.06,301,"2024-04-07 09:00:00"
"Delhi","Clear",10000,37.48,37.48,37.48,1002,5,4.87,308,"2024-04-07 12:00:00"
"Delhi","Clear",10000,33.08,33.08,33.08,1004,7,3.37,289,"2024-04-07 15:00:00"
"Delhi","Clear",10000,30.11,30.11,30.11,1006,9,3.83,309,"2024-04-07 18:00:00"
"Delhi","Clear",10000,27.98,27.98,27.98,1005,10,3.51,340,"2024-04-07 21:00:00"
"Delhi","Clear",10000,26.48,26.48,26.48,1006,12,2.08,2,"2024-04-08 00:00:00"
"Delhi","Clear",10000,30.13,30.13,30.13,1009,9,1.52,53,"2024-04-08 03:00:00"
"Delhi","Clear",10000,36.89,36.89,36.89,1008,6,1.68,215,"2024-04-08 06:00:00"
"Delhi","Clear",10000,39.06,39.06,39.06,1005,5,3.55,292,"2024-04-08 09:00:00"
"Delhi","Clear",10000,38.24,38.24,38.24,1004,5,4.61,302,"2024-04-08 12:00:00"
"Delhi","Clear",10000,34.28,34.28,34.28,1005,7,4.04,297,"2024-04-08 15:00:00"
